path,type,rms,centroid,rolloff,zcr,tempo,density,key_guess
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_015_NOKICK_110.wav,Kick,0.087084,4084.67,7471.11,0.287664,0.0,5.8437,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_004_STRIPPED_110.wav,Drum,0.297186,928.32,2191.89,0.012577,0.0,1.7187,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_014_FULL_110.wav,Drum,0.2558,3908.1,7369.11,0.182711,0.0,5.9583,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_008_NOKICK_110.wav,Kick,0.122047,4198.97,7397.63,0.332039,0.0,5.0416,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_013_FULL_110.wav,Drum,0.225722,4079.6,7094.36,0.273924,0.0,6.5312,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_020_PERCUSSION_110.wav,Perc,0.120531,825.83,1406.13,0.037722,0.0,1.8333,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_009_NOKICK_110.wav,Kick,0.107657,4550.95,8274.39,0.307725,0.0,5.8437,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_002_TOP_110.wav,Top,0.113433,4024.84,7097.8,0.2053,0.0,5.9583,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_021_STRIPPED_110.wav,Drum,0.227526,1799.84,3660.62,0.065834,0.0,3.5521,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_014_NOKICK_110.wav,Kick,0.1471,4924.75,8221.99,0.356857,0.0,5.7291,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_001_NOKICK_110.wav,Kick,0.11538,4394.28,7586.24,0.311046,0.0,5.1562,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_012_FULL_110.wav,Drum,0.199743,3489.99,6492.0,0.22383,0.0,5.5,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_015_FULL_110.wav,Drum,0.249884,2934.03,5987.86,0.127843,0.0,5.8437,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_003_PERCUSSION_110.wav,Perc,0.093173,1725.33,3319.18,0.078078,0.0,3.6667,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_014_STRIPPED_110.wav,Drum,0.232694,1722.43,3823.0,0.04081,0.0,2.0625,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_013_PERCUSSION_110.wav,Perc,0.037234,2380.14,4489.76,0.133942,0.0,2.6354,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_007_FULL_110.wav,Drum,0.237707,3924.4,7378.5,0.197229,0.0,6.6458,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_006_NOKICK_110.wav,Kick,0.145385,3938.42,7244.18,0.226425,0.0,5.9583,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_013_NOKICK_110.wav,Kick,0.13127,4909.23,8081.08,0.359857,0.0,6.5312,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_017_TOP_110.wav,Top,0.082494,5842.2,8794.6,0.573018,0.0,5.2708,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_022_TOP_110.wav,Top,0.080417,5347.69,8629.66,0.439061,0.0,5.8437,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_007_STRIPPED_110.wav,Drum,0.19894,968.18,1930.83,0.024597,0.0,1.6042,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_018_STRIPPED_110.wav,Drum,0.192999,3880.54,7100.66,0.242586,0.0,4.4687,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_022_PERCUSSION_110.wav,Perc,0.042586,2915.89,4670.87,0.203009,0.0,3.0937,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_021_FULL_110.wav,Drum,0.256348,3341.67,5893.94,0.18267,0.0,6.3021,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_010_TOP_110.wav,Top,0.091037,5326.4,8592.06,0.504958,0.0,6.5312,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_012_PERCUSSION_110.wav,Perc,0.055996,3258.16,4865.24,0.28873,0.0,7.2187,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_005_TOP_110.wav,Top,0.100803,4867.57,7787.69,0.319245,0.0,5.5,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_017_FULL_110.wav,Drum,0.236476,4014.48,7596.7,0.209431,0.0,5.9583,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_010_FULL_110.wav,Drum,0.240844,3726.17,6983.34,0.277819,0.0,7.2187,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_002_PERCUSSION_110.wav,Perc,0.091179,1680.88,3155.19,0.102035,0.0,2.5208,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_019_TOP_110.wav,Top,0.063158,3934.56,7022.26,0.205222,0.0,5.9583,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_020_NOKICK_110.wav,Kick,0.157009,3161.15,5954.93,0.173059,0.0,4.125,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_005_FULL_110.wav,Drum,0.285359,3110.07,6259.72,0.086747,0.0,4.2396,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_013_STRIPPED_110.wav,Drum,0.162065,1687.52,3126.92,0.089085,0.0,1.4896,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_002_FULL_110.wav,Drum,0.298019,2797.51,5738.11,0.068289,0.0,5.2708,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_001_PERCUSSION_110.wav,Perc,0.049876,870.59,1305.62,0.052685,0.0,1.375,
/Volumes/TOSHIBAEXT/ualproject/dataset/techno dataset/Berlin underground/drum loop/Drumloop_020_FULL_110.wav,Drum,0.251274,2638.51,5174.18,0.118046,0.0,5.3854,
